Robert;Kiyosaky;15456987;pago;true
luis;Azocar;30200852;pago;false
Perencemo;Angulo;123456789;pago;true
pablillo;Salazar;27882345;pago;false
darla;Kiyosaky;15456987;pago;true
Robert;Kiyosaky;15456987;pago;true
darla;Kiyosaky;15456987;pago;true
luis;Azocar;30200852;pago;false
Perencemo;Angulo;123456789;pago;true
miguel;Azocar;30200852;pago;false
pablillo;marino;27882345;pago;false
darla;Kiyosaky;15456987;pago;true
miguel;trivino;30200852;pago;false
pablillo;Salazar;27882345;pago;false
darla;Kiyosaky;15456987;pago;true
miguel;Azocar;30200852;pago;false
gilberto;Angulo;123456789;pago;true
marian;Rios;22698123;pago;false
Silvestre;Cardenas;19654369;pago;false
Pablo;Salazar;27882345;pago;false
Robert;Kiyosaky;15456987;pago;true
luis;Azocar;30200852;pago;false
Perencemo;Angulo;123456789;pago;true
Mercedes;Rios;22698123;pago;false
keith;molina;15456987;deposito;true
keith;molina;15456987;deposito;true
moices;miranda;27665789;deposito;false
keith;molina;15456987;deposito;true
keith;molina;15456987;deposito;true
Robert;Kiyosaky;15456987;deposito;true
keith;molina;15456987;deposito;true
keith;Kiyosaky;15456987;deposito;true
Robert;Kiyosaky;15456987;deposito;true
keith;molina;15456987;deposito;true
keith;molina;15456987;deposito;true
moices;miranda;27665789;deposito;false
keith;Kiyosaky;15456987;deposito;true
Bianca;Moreno;30123456;deposito;false
Paola;Josefina;27665789;deposito;false
Robert;Kiyosaky;15456987;deposito;true
Kimberly;Carvajal;31205468;deposito;false
Mario;Ruben;211057394;retiro;false
kevin;Ruben;211057394;retiro;false
antonio;maneiro;2945687;retiro;false
daniel;Salazar;27882345;retiro;false
Mario;Ruben;211057394;retiro;false
antonio;Garcia;2945687;retiro;false
Mario;Ruben;211057394;retiro;false
kevin;Ruben;211057394;retiro;false
antonio;maneiro;2945687;retiro;false
daniel;Salazar;27882345;retiro;false
antonio;Garcia;2945687;retiro;false
kevin;Ruben;211057394;retiro;false
Antonieta;Gomez;15123456;retiro;false
Kim;velazquez;12458789;retiro;false
steve;rogers;27854478;retiro;false
Pablo;Salazar;27882345;retiro;false
Estefania;Garcia;2945687;retiro;false
Mario;Ruben;211057394;retiro;false
Marcel;Ruiz;17695236;retiro;true
Gabriel;Delgado;27854478;retiro;false
dubrazka;gomez;2945687;actualizacion;false
carla;duglas;15456987;actualizacion;true
dubrazka;Garcia;2945687;actualizacion;false
carla;kiyosaky;15456987;actualizacion;true
dubrazka;gomez;2945687;actualizacion;false
carla;duglas;15456987;actualizacion;true
dubrazka;Garcia;2945687;actualizacion;false
carla;kiyosaky;15456987;actualizacion;true
hugo;Martinez;19500698;actualizacion;false
Bianca;Moreno;30123456;actualizacion;false
Kim;velazquez;12458789;actualizacion;true
Estefania;Garcia;2945687;actualizacion;false
Robert;kiyosaky;15456987;actualizacion;true
Ismenia;Martinez;19500698;actualizacion;false
